Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Male),0.233,5175,5181,02:52,02:53
WingExt,Fly 1 (Female),0.1,5182,5184,02:53,02:53
WingExt,Fly 0 (Male),0.1,5187,5189,02:53,02:53
Circling,Fly 1 (Female),0.433,5197,5209,02:53,02:54
WingExt,Fly 0 (Male),0.367,5199,5209,02:53,02:54
WingExt,Fly 1 (Female),0.133,5215,5218,02:54,02:54
WingExt,Fly 0 (Male),0.133,5223,5226,02:54,02:54
WingExt,Fly 1 (Female),0.2,5225,5230,02:54,02:54
WingExt,Fly 0 (Male),0.1,5237,5239,02:55,02:55
WingExt,Fly 0 (Male),0.167,5243,5247,02:55,02:55
WingExt,Fly 0 (Male),0.167,5251,5255,02:55,02:55
WingExt,Fly 1 (Female),0.1,5267,5269,02:56,02:56
WingExt,Fly 1 (Female),0.367,5272,5282,02:56,02:56
WingExt,Fly 1 (Female),0.4,5284,5295,02:56,02:56
WingExt,Fly 0 (Male),0.1,5303,5305,02:57,02:57
WingExt,Fly 0 (Male),0.1,5307,5309,02:57,02:57
WingExt,Fly 1 (Female),0.1,5313,5315,02:57,02:57
WingExt,Fly 1 (Female),0.133,5317,5320,02:57,02:57
WingExt,Fly 0 (Male),0.1,5324,5326,02:57,02:58
WingExt,Fly 0 (Male),0.133,5336,5339,02:58,02:58
WingExt,Fly 0 (Male),0.133,5348,5351,02:58,02:58
WingExt,Fly 1 (Female),0.133,5356,5359,02:59,02:59
WingExt,Fly 1 (Female),0.1,5361,5363,02:59,02:59
WingExt,Fly 0 (Male),0.1,5364,5366,02:59,02:59
WingExt,Fly 0 (Male),0.1,5368,5370,02:59,02:59
WingExt,Fly 0 (Male),0.5,5385,5399,03:00,03:00
WingExt,Fly 0 (Male),0.133,5405,5408,03:00,03:00
WingExt,Fly 1 (Female),0.167,5406,5410,03:00,03:00
WingExt,Fly 0 (Male),0.2,5410,5415,03:00,03:00
WingExt,Fly 0 (Male),0.133,5422,5425,03:01,03:01
Circling,Fly 1 (Female),0.333,5425,5434,03:01,03:01
WingExt,Fly 0 (Male),0.1,5427,5429,03:01,03:01
